fecha,region,producto,ventas
2026-06-09,Sur,B,1640
2026-06-09,Centro,B,959
2026-06-09,Centro,C,1575
2026-06-09,Norte,C,1008
2026-06-09,Centro,C,781
2026-06-09,Sur,B,1336
2026-06-09,Sur,A,1624
2026-06-09,Norte,C,1268
2026-06-09,Norte,B,621
2026-06-09,Norte,C,989
2026-06-09,Norte,B,1930
2026-06-09,Centro,C,1581
2026-06-09,Centro,B,1139
2026-06-09,Norte,A,1937
2026-06-09,Sur,C,861
2026-06-09,Centro,C,836
2026-06-09,Norte,A,892
2026-06-09,Norte,C,1923
2026-06-09,Centro,A,1734
2026-06-09,Norte,C,787
2026-06-09,Centro,B,736
2026-06-09,Sur,B,783
2026-06-09,Norte,C,965
2026-06-09,Norte,C,1807
2026-06-09,Centro,C,584
2026-06-09,Sur,A,1606
2026-06-09,Norte,A,948
2026-06-09,Sur,B,562
2026-06-09,Sur,C,965
2026-06-09,Centro,A,657
2026-06-09,Norte,C,662
2026-06-09,Centro,B,1157
2026-06-09,Norte,A,1995
2026-06-09,Norte,B,1389
2026-06-09,Norte,A,993
2026-06-09,Sur,C,1256
2026-06-09,Sur,A,1357
2026-06-09,Sur,A,813
2026-06-09,Sur,B,823
2026-06-09,Norte,C,965
2026-06-09,Centro,A,1546
2026-06-09,Norte,A,1919
2026-06-09,Norte,A,518
2026-06-09,Norte,C,1429
2026-06-09,Norte,A,574
2026-06-09,Sur,B,1566
2026-06-09,Centro,C,1337
2026-06-09,Centro,C,1451
2026-06-09,Norte,A,1124
2026-06-09,Sur,C,1725
2026-06-09,Sur,B,1421
2026-06-09,Centro,A,707
2026-06-09,Norte,C,1726
2026-06-09,Norte,A,1853
2026-06-09,Sur,B,543
2026-06-09,Sur,B,1869
2026-06-09,Sur,C,1280
2026-06-09,Centro,B,1738
2026-06-09,Centro,B,1534
2026-06-09,Sur,B,1212
2026-06-09,Norte,A,619
2026-06-09,Sur,B,1180
2026-06-09,Norte,C,1667
2026-06-09,Norte,A,1495
2026-06-09,Sur,A,1696
2026-06-09,Centro,A,1522
2026-06-09,Norte,B,1356
2026-06-09,Norte,C,1945
2026-06-09,Norte,C,1713
2026-06-09,Centro,A,1757
2026-06-09,Sur,A,1140
2026-06-09,Centro,B,1629
2026-06-09,Sur,A,978
2026-06-09,Sur,A,612
2026-06-09,Norte,C,594
2026-06-09,Norte,A,713
2026-06-09,Norte,A,853
2026-06-09,Norte,C,1157
2026-06-09,Norte,C,920
2026-06-09,Sur,B,538
